,full_name,used_name,kraj,kraj_skrot,wzrost,waga,plec,data_urodz,zdj,kolor_odl,kolor_hex,kolor_rgb
726,"Wilhelm Marie ""Wim"" Hennings",Wim Hennings,Netherlands,NED,None,None,Male,1905-08-20,http://d2a3o6pzho379u.cloudfront.net/73821.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
727,Franco Reiser,Franco Reiser,Italy,ITA,None,None,Male,1904-03-14,None,brak zdj,brak zdj,brak zdj
728,Francisco José Eduardo Costas Enríquez,Francisco Costas,Mexico,MEX,180,None,Male,1907-10-21,None,brak zdj,brak zdj,brak zdj
729,Iwao Aizawa,Iwao Aizawa,Japan,JPN,None,None,Male,1906-08-29,None,brak zdj,brak zdj,brak zdj
730,"Adolph Franz Marie ""Dolf"" Benz",Dolf Benz,Netherlands,NED,None,None,Male,1908-09-15,None,brak zdj,brak zdj,brak zdj
731,Şinasi Şahingiray,Şinasi Şahingiray,Türkiye,TUR,None,None,Male,1905-07-31,http://d2a3o6pzho379u.cloudfront.net/79718.jpg,261.95,#935656,"[146, 86, 86]"
732,Óscar Alvarado,Óscar Alvarado,Chile,CHI,None,None,Male,1905-07-31,http://d2a3o6pzho379u.cloudfront.net/66352.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
733,José Artur Prata Rebelo de Lima,José Prata de Lima,Portugal,POR,None,None,Male,1907-07-09,None,brak zdj,brak zdj,brak zdj
734,Risto Oiva Kalervo Mattila,Risto Mattila,Finland,FIN,None,None,Male,1909-08-15,None,brak zdj,brak zdj,brak zdj
735,Adolphe Eric Groscol,Adolphe Groscol,Belgium,BEL,None,None,Male,1904-05-12,http://d2a3o6pzho379u.cloudfront.net/65201.jpg,239.38,#c06552,"[192, 101, 82]"
736,"Frédéric ""Fritz"" Eyschen",Fritz Eyschen,Luxembourg,LUX,None,None,Male,1902-12-18,None,brak zdj,brak zdj,brak zdj
737,Angelos A. Lambrou,Angelos Lambrou,Greece,GRE,175,None,Male,1912-06-04,http://d2a3o6pzho379u.cloudfront.net/70777.jpg,304.66,#c92b2b,"[200, 43, 43]"
738,Konstantinos Petridis,Konstantinos Petridis,Greece,GRE,None,None,Male,1906-01-01,None,brak zdj,brak zdj,brak zdj
739,John Crocker Heap,John Heap,Great Britain,GBR,None,None,Male,1907-11-09,None,brak zdj,brak zdj,brak zdj
740,Mehmet Ali Aybar,Mehmet Ali Aybar,Türkiye,TUR,None,None,Male,1908-10-05,http://d2a3o6pzho379u.cloudfront.net/76995.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
741,Ahmet Semih Türkdoğan,Semih Türkdoğan,Türkiye,TUR,None,None,Male,1912-01-01,http://d2a3o6pzho379u.cloudfront.net/77027.jpg,309.52,#c72828,"[198, 40, 39]"
742,Jean Moulin,Jean Moulin,Luxembourg,LUX,None,None,Male,1905-03-15,None,brak zdj,brak zdj,brak zdj
743,Juan Serrahima Bofill,Juan Serrahima,Spain,ESP,None,None,Male,1905-06-29,http://d2a3o6pzho379u.cloudfront.net/67309.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
