,full_name,used_name,kraj,kraj_skrot,wzrost,waga,plec,data_urodz,zdj,kolor_odl,kolor_hex,kolor_rgb
0,"Thomas Edmund ""Tom"" Burke",Tom Burke,United States,USA,183,66,Male,1875-01-15,http://d2a3o6pzho379u.cloudfront.net/78175.jpg,272.84,#a94848,"[169, 71, 71]"
1,Fritz Hofmann,Fritz Hofmann,Germany,GER,167,56,Male,1871-06-19,http://d2a3o6pzho379u.cloudfront.net/30260.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
2,Alajos János Szokoly (-Szokolyi),Alajos Szokoly,Hungary,HUN,None,None,Male,1871-06-19,http://d2a3o6pzho379u.cloudfront.net/71310.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
3,"Francis Adonijah ""Frank"" Lane",Frank Lane,United States,USA,170,69,Male,1874-09-23,http://d2a3o6pzho379u.cloudfront.net/78676.jpg,201.87,#b27d79,"[178, 124, 120]"
4,Alexandros Khalkokondylis,Alexandros Khalkokondylis,Greece,GRE,171,64,Male,1880-01-01,http://d2a3o6pzho379u.cloudfront.net/70714.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
5,"Thomas Pelham ""Tom"" Curtis",Tom Curtis,United States,USA,176,66,Male,1873-01-09,http://d2a3o6pzho379u.cloudfront.net/78290.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
6,Charles Henry Stuart Gmelin,Charles Gmelin,Great Britain,GBR,None,None,Male,1872-05-28,http://d2a3o6pzho379u.cloudfront.net/69073.jpg,208.91,#c17371,"[192, 114, 113]"
7,Launceston Elliot,Launceston Elliot,Great Britain,GBR,188,102,Male,1874-06-09,http://d2a3o6pzho379u.cloudfront.net/69034.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
8,"Friedrich Adolf ""Fritz"" Traun",Fritz Traun,Germany,GER,None,None,Male,1876-03-29,http://d2a3o6pzho379u.cloudfront.net/162.jpg,260.76,#bd504a,"[188, 79, 73]"
9,Adolphe Jules Grisel,Adolphe Grisel,France,FRA,165,None,Male,1872-12-09,http://d2a3o6pzho379u.cloudfront.net/46849.jpg,226.34,#ba6767,"[185, 102, 102]"
10,Eugen Stahl Schmidt,Eugen Schmidt,Denmark,DEN,None,None,Male,1862-02-17,http://d2a3o6pzho379u.cloudfront.net/66989.jpg,219.47,#b66d6d,"[182, 108, 108]"
11,George Herbert Marshall,George Marshall,Great Britain,GBR,None,None,Male,1876-10-02,http://d2a3o6pzho379u.cloudfront.net/69279.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
12,Kurt Wilhelm Doerry,Kurt Doerry,Germany,GER,179,73,Male,1874-09-24,http://d2a3o6pzho379u.cloudfront.net/70207.jpg,221.4,#9f766e,"[158, 117, 110]"
13,Georgios Gennimatas,Georgios Gennimatas,Greece,GRE,None,None,Male,1873-01-01,http://d2a3o6pzho379u.cloudfront.net/70729.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
14,Kristian Henrik Rudolf Sjöberg,Henrik Sjöberg,Sweden,SWE,None,None,Male,1875-01-20,http://d2a3o6pzho379u.cloudfront.net/76383.jpg,252.97,#a15959,"[160, 89, 89]"
15,Luis Subercaseaux Errázuriz,Luis Subercaseaux,Chile,CHI,None,None,Male,1882-05-10,None,brak zdj,brak zdj,brak zdj
16,Leonidasz Manno,Leonidasz Manno,Hungary,HUN,None,None,Male,1876-01-01,None,brak zdj,brak zdj,brak zdj
17,Jean Émile Albert Tournois,Jean Tournois,France,FRA,167,None,Male,1868-10-26,None,brak zdj,brak zdj,brak zdj
18,Konstantinos Mouratis,Konstantinos Mouratis,Greece,GRE,None,None,Male,1868-10-26,None,brak zdj,brak zdj,brak zdj
19,István Zachar,István Zachar,Hungary,HUN,None,None,Male,1868-10-26,None,brak zdj,brak zdj,brak zdj
20,Ralph Derr,Ralph Derr,United States,USA,None,None,Male,1875-09-19,None,brak zdj,brak zdj,brak zdj
21,Salomon Louis Adler,Louis Adler,France,FRA,176,None,Male,1875-09-22,None,brak zdj,brak zdj,brak zdj
22,Alfred Flatow,Alfred Flatow,Germany,GER,None,None,Male,1869-10-03,http://d2a3o6pzho379u.cloudfront.net/30247.jpg,224.55,#a16f6f,"[160, 110, 110]"
23,Gustaf Harald Arbin (Andersson-),Harald Arbin,Sweden,SWE,None,None,Male,1867-08-04,http://d2a3o6pzho379u.cloudfront.net/50347.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
24,Pierre Alexandre Tuffèri,Alexandre Tuffèri,France,FRA,None,None,Male,1876-06-08,http://d2a3o6pzho379u.cloudfront.net/68538.jpg,274.3,#924e4c,"[145, 78, 75]"
25,Nándor János Dáni,Nándor Dáni,Hungary,HUN,None,None,Male,1871-07-02,http://d2a3o6pzho379u.cloudfront.net/71127.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
26,Charles Joseph Giuseppe Vanoni,Charles Vanoni,United States,USA,None,None,Male,1876-11-23,http://d2a3o6pzho379u.cloudfront.net/891621.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
27,Grantley Thomas Smart Goulding,Grantley Goulding,Great Britain,GBR,None,None,Male,1874-03-23,http://d2a3o6pzho379u.cloudfront.net/69079.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
28,"François Étienne ""Frantz"" Reichel",Frantz Reichel,France,FRA,169,None,Male,1871-03-16,http://d2a3o6pzho379u.cloudfront.net/68474.jpg,269.45,#ae4949,"[173, 73, 73]"
29,"William Welles ""Bill"" Hoyt",Bill Hoyt,United States,USA,None,None,Male,1875-05-07,http://d2a3o6pzho379u.cloudfront.net/78578.jpg,238.65,#d05b58,"[208, 91, 87]"
30,Anastasios Andreou,Anastasios Andreou,Greece,GRE,None,None,Male,1877-01-01,http://d2a3o6pzho379u.cloudfront.net/70702.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
31,Athanasios Skaltsogiannis,Athanasios Skaltsogiannis,Greece,GRE,None,None,Male,1878-01-01,http://d2a3o6pzho379u.cloudfront.net/70850.jpg,277.29,#d83d3d,"[215, 60, 60]"
32,Pál Péthy,Pál Péthy,Hungary,HUN,None,None,Male,1878-01-01,None,brak zdj,brak zdj,brak zdj
33,"Frederick Wait ""Fred"" Lord",Fred Lord,United States,USA,None,None,Male,1871-07-03,None,brak zdj,brak zdj,brak zdj
34,James Brendan Bennet Connolly,James B. Connolly,United States,USA,175,72,Male,1868-10-28,http://d2a3o6pzho379u.cloudfront.net/78257.jpg,204.73,#b07979,"[176, 121, 121]"
35,Frank Washington Jarvis,Frank Jarvis,United States,USA,167,58,Male,1878-08-31,http://d2a3o6pzho379u.cloudfront.net/78599.jpg,222.5,#9f7170,"[159, 113, 112]"
36,Walter Beardsley Tewksbury,Walter Tewksbury,United States,USA,183,64,Male,1876-03-21,http://d2a3o6pzho379u.cloudfront.net/79119.jpg,188.18,#b48585,"[179, 133, 132]"
37,"Stanley Rupert ""Stan"" Rowley",Stan Rowley,Australia,AUS,178,71,Male,1876-09-11,http://d2a3o6pzho379u.cloudfront.net/64789.jpg,182.38,#c78484,"[198, 132, 132]"
38,Arthur Francis Duffey,Arthur Duffey,United States,USA,170,62,Male,1879-06-14,http://d2a3o6pzho379u.cloudfront.net/78345.jpg,199.21,#ba7b7a,"[186, 123, 122]"
39,Norman Gilbert Pritchard (-Trevor),Norman Pritchard,India,IND,None,None,Male,1875-06-23,http://d2a3o6pzho379u.cloudfront.net/71405.jpg,197.43,#ad817f,"[173, 128, 127]"
40,Clark Moses Leiblee,Clark Leiblee,United States,USA,None,None,Male,1877-11-02,http://d2a3o6pzho379u.cloudfront.net/78689.jpg,294.39,#b93535,"[185, 52, 52]"
41,Dixon H. Boardman,Dixon Boardman,United States,USA,None,None,Male,1880-03-26,http://d2a3o6pzho379u.cloudfront.net/78124.jpg,194.58,#b08280,"[176, 129, 128]"
42,Edmund Joseph Minahan,Edmund Minahan,United States,USA,183,86,Male,1882-12-10,http://d2a3o6pzho379u.cloudfront.net/78797.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
43,Charles Lindsay Burroughs,Charles Burroughs,United States,USA,None,None,Male,1876-12-03,http://d2a3o6pzho379u.cloudfront.net/78179.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
44,"Frederick Graham ""Fred"" Moloney",Fred Moloney,United States,USA,None,None,Male,1882-08-04,http://d2a3o6pzho379u.cloudfront.net/78800.jpg,191.28,#b68381,"[181, 130, 129]"
45,Thaddeus Brew McClain,Thaddeus McClain,United States,USA,None,None,Male,1876-09-10,http://d2a3o6pzho379u.cloudfront.net/78755.jpg,207.75,#a87a79,"[168, 122, 120]"
46,Václav Nový,Václav Nový,Bohemia,BOH,None,None,Male,1876-09-10,None,brak zdj,brak zdj,brak zdj
47,Jenö Pál Koppán,Pál Koppán,Hungary,HUN,None,None,Male,1878-05-16,http://d2a3o6pzho379u.cloudfront.net/71203.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
48,Umberto Colombo,Umberto Colombo,Italy,ITA,None,None,Male,1880-01-01,None,brak zdj,brak zdj,brak zdj
49,Johannes Gandil,Johannes Gandil,Denmark,DEN,None,None,Male,1873-05-21,http://d2a3o6pzho379u.cloudfront.net/66919.jpg,239.79,#9a6565,"[154, 101, 101]"
50,Ernő Schubert,Ernő Schubert,Hungary,HUN,None,None,Male,1881-07-04,http://d2a3o6pzho379u.cloudfront.net/71273.jpg,301.79,#ca2d2d,"[202, 44, 44]"
51,Henry Berry Slack,Henry Slack,United States,USA,None,None,Male,1877-03-31,None,brak zdj,brak zdj,brak zdj
52,Julius Christian Keyl,Julius Keyl,Germany,GER,170,59,Male,1877-12-08,http://d2a3o6pzho379u.cloudfront.net/70335.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
53,Johan Isaac Westergren,Isaac Westergren,Sweden,SWE,None,None,Male,1875-07-12,http://d2a3o6pzho379u.cloudfront.net/76446.jpg,261.47,#b04f4f,"[176, 78, 78]"
54,Justus Moak Scrafford,Justus Scrafford,United States,USA,None,None,Male,1878-01-07,http://d2a3o6pzho379u.cloudfront.net/79012.jpg,237.75,#946a67,"[148, 106, 102]"
55,Ernst Ludwig Emanuel Schultz,Ernst Schultz,Denmark,DEN,None,None,Male,1879-06-15,http://d2a3o6pzho379u.cloudfront.net/66990.jpg,245.13,#a0655a,"[160, 100, 89]"
56,Franz Albert Amrhein,Albert Amrhein,Germany,GER,None,None,Male,1870-12-29,http://d2a3o6pzho379u.cloudfront.net/18056.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
57,Albert Tyler Witbeck,Albert Witbeck,United States,USA,None,None,Male,1881-09-01,None,brak zdj,brak zdj,brak zdj
58,"Alvin Christian ""Al"" Kraenzlein",Al Kraenzlein,United States,USA,183,75,Male,1876-12-06,http://d2a3o6pzho379u.cloudfront.net/78667.jpg,208.6,#ac7977,"[171, 120, 118]"
59,Rotolante, Rotolante,Italy,ITA,None,None,Male,1876-12-06,None,brak zdj,brak zdj,brak zdj
60,"Maxwell Washburn ""Maxey"" Long",Maxey Long,United States,USA,182,75,Male,1878-10-16,http://d2a3o6pzho379u.cloudfront.net/78711.jpg,211.53,#a87876,"[167, 119, 117]"
61,Pierre Eugène Tibulle-Hamont,Pierre Hamont,United States,USA,172,None,Male,1881-09-25,None,brak zdj,brak zdj,brak zdj
62,Yngvar Bryn,Yngvar Bryn,Norway,NOR,None,None,Male,1881-12-17,http://d2a3o6pzho379u.cloudfront.net/74117.jpg,296.89,#814141,"[128, 65, 65]"
63,Zoltán Speidl,Zoltán Speidl,Hungary,HUN,None,None,Male,1880-03-17,http://d2a3o6pzho379u.cloudfront.net/71284.jpg,288.72,#d43535,"[211, 52, 53]"
64,"William Joseph ""Bill"" Holland",Bill Holland,United States,USA,None,None,Male,1874-03-08,http://d2a3o6pzho379u.cloudfront.net/78564.jpg,213.76,#a47775,"[164, 118, 117]"
65,Adolphe Christiano Klingelhoefer,Adolphe Klingelhoefer,France,FRA,None,None,Male,1880-05-02,http://d2a3o6pzho379u.cloudfront.net/68321.jpg,286.18,#d73736,"[215, 55, 53]"
66,Albert Karl Werkmüller,Albert Werkmüller,Germany,GER,None,None,Male,1879-12-31,http://d2a3o6pzho379u.cloudfront.net/70590.jpg,193.71,#eb7875,"[234, 120, 117]"
67,John Frederick McLean,John McLean,United States,USA,None,None,Male,1878-01-10,http://d2a3o6pzho379u.cloudfront.net/78769.jpg,196.58,#b1807f,"[176, 127, 127]"
68,Émile Joseph Pierre Lécuyer,Émile Lécuyer,France,FRA,175,None,Male,1876-04-20,http://d2a3o6pzho379u.cloudfront.net/68350.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
69,William Fraser Lewis,William Lewis,United States,USA,None,None,Male,1876-03-02,http://d2a3o6pzho379u.cloudfront.net/78694.jpg,245.12,#946561,"[148, 101, 97]"
70,William Procter Remington,William Remington,United States,USA,None,None,Male,1879-03-13,http://d2a3o6pzho379u.cloudfront.net/78941.jpg,220.63,#a37270,"[163, 114, 112]"
71,Eugène Charles Choisel,Eugène Choisel,France,FRA,160,None,Male,1881-09-15,http://d2a3o6pzho379u.cloudfront.net/68133.jpg,272.44,#c74342,"[198, 66, 66]"
72,Karel Nedvěd,Karel Nedvěd,Bohemia,BOH,None,None,Male,1881-09-15,None,brak zdj,brak zdj,brak zdj
73,Gustav Adolf Friedrich Gottfried Rau,Gustav Adolf Rau,Germany,GER,172,62,Male,1878-02-20,http://d2a3o6pzho379u.cloudfront.net/70455.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
74,"Charles Archibald ""Archie"" Hahn",Archie Hahn,United States,USA,167,64,Male,1880-09-14,http://d2a3o6pzho379u.cloudfront.net/78496.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
75,"Nathaniel John ""Nate"" Cartmell",Nate Cartmell,United States,USA,182,71,Male,1883-01-13,http://d2a3o6pzho379u.cloudfront.net/78210.jpg,188.66,#b98482,"[184, 132, 129]"
76,"William Peter ""Bill"" Hogenson",Bill Hogenson,United States,USA,None,None,Male,1884-10-26,http://d2a3o6pzho379u.cloudfront.net/78562.jpg,232.24,#9e6a69,"[157, 106, 105]"
77,Fay R. Moulton,Fay Moulton,United States,USA,175,70,Male,1876-04-07,http://d2a3o6pzho379u.cloudfront.net/78817.jpg,203.47,#ac7d7b,"[171, 124, 122]"
78,"Frederick J. ""Fred"" Heckwolf",Fred Heckwolf,United States,USA,None,None,Male,1879-01-07,None,brak zdj,brak zdj,brak zdj
79,Lawson Robertson,Lawson Robertson,United States,USA,183,68,Male,1883-09-23,http://d2a3o6pzho379u.cloudfront.net/78958.jpg,305.68,#cf2f24,"[206, 47, 35]"
80,Béla Elemér Mező,Béla Mező,Hungary,HUN,None,None,Male,1883-07-01,http://d2a3o6pzho379u.cloudfront.net/71232.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
81,"Robert ""Bobby"" Kerr",Bobby Kerr,Canada,CAN,171,66,Male,1882-06-09,http://d2a3o6pzho379u.cloudfront.net/66116.jpg,280.93,#c93c3c,"[200, 60, 60]"
82,Clyde Amel Blair,Clyde Blair,United States,USA,None,None,Male,1881-09-16,http://d2a3o6pzho379u.cloudfront.net/78119.jpg,173.32,#bf8e8d,"[190, 141, 140]"
83,Meyer Prinstein,Meyer Prinstein,United States,USA,180,74,Male,1878-12-22,http://d2a3o6pzho379u.cloudfront.net/78917.jpg,263.73,#875a57,"[134, 90, 87]"
84,Frank Riley Castleman,Frank Castleman,United States,USA,None,None,Male,1877-03-17,http://d2a3o6pzho379u.cloudfront.net/78216.jpg,263.21,#ac4e4e,"[172, 78, 78]"
85,Emmett Frank Annis,Emmett Annis,United States,USA,None,None,Male,1883-08-03,None,brak zdj,brak zdj,brak zdj
86,"Oliver Peter ""Ollie"" Snedigar",Ollie Snedigar,United States,USA,None,None,Male,1877-02-25,http://d2a3o6pzho379u.cloudfront.net/892351.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
87,John Dodge Peters,Dodge Peters,United States,USA,None,None,Male,1879-11-19,None,brak zdj,brak zdj,brak zdj
88,William Marshall,William Marshall,United States,USA,None,None,Male,1879-11-19,None,brak zdj,brak zdj,brak zdj
89,"William Bridges ""Will"" Hunter",Will Hunter,United States,USA,None,None,Male,1883-02-19,None,brak zdj,brak zdj,brak zdj
90,George Coleman Poage,George Poage,United States,USA,None,None,Male,1880-11-06,http://d2a3o6pzho379u.cloudfront.net/78903.jpg,220.31,#a37371,"[162, 114, 112]"
91,Joseph Francis Stadler,Joseph Stadler,United States,USA,None,None,Male,1880-06-12,None,brak zdj,brak zdj,brak zdj
92,Lee Vernon,Lee Vernon,Canada,CAN,None,None,Male,1880-06-12,None,brak zdj,brak zdj,brak zdj
93,Charles H. Turner,Charles Turner,United States,USA,None,None,Male,1880-06-12,None,brak zdj,brak zdj,brak zdj
94,Clay Foster,Clay Foster,United States,USA,None,None,Male,1880-06-12,None,brak zdj,brak zdj,brak zdj
95,"Francis Lawrence ""Frank"" Lukeman",Frank Lukeman,Canada,CAN,178,None,Male,1885-06-20,http://d2a3o6pzho379u.cloudfront.net/66140.jpg,264.8,#dc4744,"[219, 70, 68]"
96,"Percival Talbot ""Percy"" Molson",Percy Molson,Canada,CAN,184,None,Male,1880-08-14,http://d2a3o6pzho379u.cloudfront.net/66178.jpg,241.86,#ce5858,"[205, 87, 87]"
97,Herman Charles Groman,Herman Groman,United States,USA,None,None,Male,1882-08-18,http://d2a3o6pzho379u.cloudfront.net/78483.jpg,196.17,#b37f7f,"[179, 127, 126]"
98,"Harry Livingston Hillman, Jr.",Harry Hillman,United States,USA,180,66,Male,1881-09-08,http://d2a3o6pzho379u.cloudfront.net/78555.jpg,219.87,#a57171,"[164, 113, 113]"
99,"Frederick William ""Fred"" Schule",Fred Schule,United States,USA,None,None,Male,1879-09-27,http://d2a3o6pzho379u.cloudfront.net/79005.jpg,200.95,#aa7d7f,"[170, 124, 127]"
100,"Thaddeus Rutter ""Thad"" Shideler",Thad Shideler,United States,USA,None,None,Male,1883-10-17,http://d2a3o6pzho379u.cloudfront.net/79034.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
101,Lesley Ashburner,Lesley Ashburner,United States,USA,None,None,Male,1883-10-21,http://d2a3o6pzho379u.cloudfront.net/78049.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
102,Craig Ward McLanahan,Ward McLanahan,United States,USA,None,None,Male,1883-01-15,http://d2a3o6pzho379u.cloudfront.net/78768.jpg,199.35,#ae7f7d,"[173, 127, 125]"
103,Corrie Henry Gardner,Corrie Gardner,Australia,AUS,None,None,Male,1879-03-12,http://d2a3o6pzho379u.cloudfront.net/64680.jpg,286.5,#c73838,"[199, 56, 56]"
104,Leslie Mitchell McPherson,Leslie McPherson,Australia,AUS,None,None,Male,1880-05-17,http://d2a3o6pzho379u.cloudfront.net/1006094.jpg,170.36,#d28b8b,"[209, 138, 138]"
105,C. R. Vincent,C. R. Vincent,United States,USA,None,None,Male,1880-05-17,None,brak zdj,brak zdj,brak zdj
106,Edwin Jones Clapp,Edwin Clapp,United States,USA,None,None,Male,1881-09-09,None,brak zdj,brak zdj,brak zdj
107,Louis Wiegand Mertz,Louis Mertz,United States,USA,None,None,Male,1883-09-03,None,brak zdj,brak zdj,brak zdj
108,Lester C. Bailey,Lester Bailey,United States,USA,None,None,Male,1884-01-01,None,brak zdj,brak zdj,brak zdj
109,"Samuel Symington ""Sam"" Jones",Sam Jones,United States,USA,189,82,Male,1880-01-16,http://d2a3o6pzho379u.cloudfront.net/18272.jpg,308.82,#c62828,"[197, 40, 40]"
110,"Reginald Edgar ""Reggie"" Walker",Reggie Walker,South Africa,RSA,170,61,Male,1889-03-16,http://d2a3o6pzho379u.cloudfront.net/75343.jpg,299.04,#d02e2e,"[207, 46, 46]"
111,"John Alcorn ""James"" Rector",James Rector,United States,USA,181,72,Male,1884-06-22,http://d2a3o6pzho379u.cloudfront.net/78932.jpg,287.65,#b43b3b,"[180, 58, 58]"
112,"William Wyman ""Willie"" May",Willie May,United States,USA,175,73,Male,1887-03-17,None,brak zdj,brak zdj,brak zdj
113,"Nathaniel Alden ""Nate"" Sherman",Nate Sherman,United States,USA,185,75,Male,1888-02-07,None,brak zdj,brak zdj,brak zdj
114,Harry J. Huff,Harry Huff,United States,USA,None,None,Male,1880-06-03,None,brak zdj,brak zdj,brak zdj
115,"Patrick Joseph ""Paddy"" Roche",Paddy Roche,Great Britain,GBR,None,None,Male,1886-01-01,None,brak zdj,brak zdj,brak zdj
116,"John William ""Jack"" Morton",Jack Morton,Great Britain,GBR,171,65,Male,1879-02-13,http://d2a3o6pzho379u.cloudfront.net/69327.jpg,282.85,#ca3b3b,"[201, 58, 58]"
117,"Edward John ""Eddie"" Duffy",Eddie Duffy,South Africa,RSA,187,71,Male,1883-06-06,None,brak zdj,brak zdj,brak zdj
118,"James Primrose ""Jimmy"" Stark",Jimmy Stark,Great Britain,GBR,None,None,Male,1885-03-07,None,brak zdj,brak zdj,brak zdj
119,Lester Barber Stevens,Lester Stevens,United States,USA,None,None,Male,1884-02-28,None,brak zdj,brak zdj,brak zdj
120,Robert Cochran Duncan,Robert Duncan,Great Britain,GBR,None,None,Male,1887-10-04,None,brak zdj,brak zdj,brak zdj
121,"John Phelps ""Jack"" George",Jack George,Great Britain,GBR,None,None,Male,1882-04-26,None,brak zdj,brak zdj,brak zdj
122,"Robert ""Bobby"" Cloughen",Bobby Cloughen,United States,USA,179,76,Male,1889-01-26,http://d2a3o6pzho379u.cloudfront.net/78236.jpg,271.73,#e24040,"[225, 63, 63]"
123,"William Franklin ""Frank"" Hamilton",Frank Hamilton,United States,USA,176,70,Male,1883-08-11,http://d2a3o6pzho379u.cloudfront.net/78507.jpg,270.92,#b84646,"[184, 70, 70]"
124,Georgios Skoutaridis,Georgios Skoutaridis,Greece,GRE,None,None,Male,1885-01-01,http://d2a3o6pzho379u.cloudfront.net/70853.jpg,308.06,#993232,"[152, 49, 49]"
125,Oscar Guttormsen,Oscar Guttormsen,Norway,NOR,None,None,Male,1884-03-27,http://d2a3o6pzho379u.cloudfront.net/74141.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
126,"Georges Désiré ""Géo"" Malfait",Géo Malfait,France,FRA,169,60,Male,1878-12-09,http://d2a3o6pzho379u.cloudfront.net/68384.jpg,268.99,#ae4a4a,"[173, 73, 73]"
127,Jean Konings,Jean Konings,Belgium,BEL,None,None,Male,1886-03-04,http://d2a3o6pzho379u.cloudfront.net/65222.jpg,260.38,#a75f45,"[167, 95, 69]"
128,John Johansen,John Johansen,Norway,NOR,None,None,Male,1883-02-26,http://d2a3o6pzho379u.cloudfront.net/74165.jpg,305.32,#c62d28,"[197, 45, 40]"
129,Victor Jacquemin,Victor Jacquemin,Belgium,BEL,None,None,Male,1892-03-12,http://d2a3o6pzho379u.cloudfront.net/65218.jpg,163.87,#db8e8e,"[218, 141, 141]"
130,Knut Stenborg,Knut Stenborg,Sweden,SWE,None,None,Male,1890-03-25,http://d2a3o6pzho379u.cloudfront.net/76390.jpg,242.02,#c65a58,"[197, 89, 87]"
131,Knut Andreas Lindberg,Knut Lindberg,Sweden,SWE,179,72,Male,1882-02-02,http://d2a3o6pzho379u.cloudfront.net/76261.jpg,295.72,#cc3131,"[203, 49, 48]"
132,Axel Johannes Petersen,Axel Johannes Petersen,Denmark,DEN,None,None,Male,1880-11-14,None,brak zdj,brak zdj,brak zdj
133,Meyrick Chapman,Meyrick Chapman,Great Britain,GBR,163,None,Male,1886-12-09,None,brak zdj,brak zdj,brak zdj
134,Pál Simon,Pál Simon,Hungary,HUN,182,76,Male,1891-12-31,http://d2a3o6pzho379u.cloudfront.net/71276.jpg,278.4,#be4040,"[189, 63, 63]"
135,Henry John Pankhurst,Henry Pankhurst,Great Britain,GBR,None,None,Male,1884-01-01,None,brak zdj,brak zdj,brak zdj
136,"Louis Joseph ""Lou"" Sebert",Lou Sebert,Canada,CAN,180,None,Male,1886-12-04,http://d2a3o6pzho379u.cloudfront.net/66237.jpg,286.56,#b23c3c,"[177, 59, 59]"
137,Vilmos György Rácz (Tóth-),Vilmos Rácz,Hungary,HUN,182,70,Male,1889-03-31,http://d2a3o6pzho379u.cloudfront.net/71260.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
138,Lorenzo Gaspare Torretta,Gaspare Torretta,Italy,ITA,None,None,Male,1879-01-27,http://d2a3o6pzho379u.cloudfront.net/72159.jpg,326.9,#962424,"[150, 36, 36]"
139,Karl Felix John Bechler,Karl Bechler,Germany,GER,None,None,Male,1886-02-15,http://d2a3o6pzho379u.cloudfront.net/70148.jpg,217.47,#a47373,"[164, 115, 115]"
140,Victor Henny,Victor Henny,Netherlands,NED,None,None,Male,1887-10-30,None,brak zdj,brak zdj,brak zdj
141,Arthur Ernst Hoffmann,Arthur Hoffmann,Germany,GER,175,64,Male,1887-12-10,None,brak zdj,brak zdj,brak zdj
142,Denis Bernard Murray,Denis Murray,Great Britain,GBR,None,None,Male,1878-03-03,None,brak zdj,brak zdj,brak zdj
143,"Joseph David Alide ""Dave"" Beland",Dave Beland,Canada,CAN,None,None,Male,1886-10-23,None,brak zdj,brak zdj,brak zdj
144,Louis Simon Lesca,Louis Lesca,France,FRA,176,None,Male,1887-02-05,None,brak zdj,brak zdj,brak zdj
145,"Friedrich William Andreas Victor ""Hans"" Eicke",Hans Eicke,Germany,GER,169,58,Male,1885-12-01,None,brak zdj,brak zdj,brak zdj
146,Heinrich Wilhelm Rehder,Heinrich Rehder,Germany,GER,None,None,Male,1887-04-22,None,brak zdj,brak zdj,brak zdj
147,Jacobus Johannes Hoogveld,Jacobus Hoogveld,Netherlands,NED,None,None,Male,1884-08-04,None,brak zdj,brak zdj,brak zdj
148,Gaston Marie Lamotte,Gaston Lamotte,France,FRA,166,None,Male,1886-01-27,http://d2a3o6pzho379u.cloudfront.net/68336.jpg,296.42,#754545,"[117, 69, 69]"
149,Karl Johan Fryksdahl,Karl Fryksdahl,Sweden,SWE,None,None,Male,1885-06-22,http://d2a3o6pzho379u.cloudfront.net/76155.jpg,314.59,#c62424,"[197, 36, 36]"
150,Henri Charles Léopold Meslot,Henri Meslot,France,FRA,169,None,Male,1884-09-04,http://d2a3o6pzho379u.cloudfront.net/68404.jpg,326.4,#802b2b,"[127, 42, 42]"
151,"Harold ""Harry"" Watson",Harry Watson,Great Britain,GBR,None,None,Male,1883-01-01,None,brak zdj,brak zdj,brak zdj
152,"Wilhelm ""Willy"" Kohlmey",Willy Kohlmey,Germany,GER,173,68,Male,1881-07-19,http://d2a3o6pzho379u.cloudfront.net/70347.jpg,nie wykryto nosa,nie wykryto nosa,nie wykryto nosa
153,Evert Koops,Evert Koops,Netherlands,NED,None,None,Male,1885-01-02,http://d2a3o6pzho379u.cloudfront.net/73846.jpg,nie wykryto twarzy,nie wykryto twarzy,nie wykryto twarzy
154,Mikhail Paskhalidis,Mikhail Paskhalidis,Greece,GRE,None,None,Male,1885-01-02,None,brak zdj,brak zdj,brak zdj
155,Umberto Barozzi,Umberto Barozzi,Italy,ITA,175,75,Male,1881-08-13,http://d2a3o6pzho379u.cloudfront.net/71850.jpg,225.19,#bc6767,"[187, 102, 102]"
156,William Andrew Murray,William Murray,Great Britain,GBR,None,None,Male,1881-07-18,None,brak zdj,brak zdj,brak zdj
157,"Erich Eduard ""Edi"" Schönecker",Edi Schönecker,Austria,AUT,None,None,Male,1885-01-21,None,brak zdj,brak zdj,brak zdj
